pair_idx,class_a,class_b,t,store,cos_top1,mah_top1,overlap_10,overlap_25,flip_top1,rank_corr,sim_delta_mean,sim_delta_max
42,63,90,0.7900000214576721,S1,90,90,10,25,0,1.0,1.715421603876166e-06,3.337860107421875e-06
42,63,90,0.7900000214576721,S3,90,90,10,25,0,1.0,1.3589858554041712e-06,2.950429916381836e-06
42,63,90,0.800000011920929,S1,90,90,10,25,0,1.0,1.5872716403464437e-06,3.2186508178710938e-06
42,63,90,0.800000011920929,S3,90,90,10,25,0,1.0,1.2829899560529157e-06,2.8908252716064453e-06
42,63,90,0.8100000023841858,S1,90,90,10,25,0,1.0,1.5872716403464437e-06,3.2782554626464844e-06
42,63,90,0.8100000023841858,S3,90,90,10,25,0,1.0,1.257956000699778e-06,2.86102294921875e-06
42,63,90,0.8199999928474426,S1,90,90,10,25,0,1.0,1.6027688616304658e-06,3.159046173095703e-06
42,63,90,0.8199999928474426,S3,90,90,10,25,0,1.0,1.268088794859068e-06,2.9206275939941406e-06
42,63,90,0.8299999833106995,S1,90,90,10,25,0,1.0,1.5968083744155592e-06,3.2186508178710938e-06
42,63,90,0.8299999833106995,S3,90,90,10,25,0,1.0,1.2329220453466405e-06,3.039836883544922e-06
42,63,90,0.8400000333786011,S1,90,90,10,25,0,1.0,1.5598535583194462e-06,3.2782554626464844e-06
42,63,90,0.8400000333786011,S3,90,90,10,25,0,1.0,1.2198090644233162e-06,3.0100345611572266e-06
42,63,90,0.8500000238418579,S1,90,90,10,25,0,1.0,1.5324353626056109e-06,3.159046173095703e-06
42,63,90,0.8500000238418579,S3,90,90,10,25,0,1.0,1.1944770221816725e-06,2.9802322387695312e-06
42,63,90,0.8600000143051147,S1,90,90,10,25,0,1.0,1.5258788153005298e-06,3.2186508178710938e-06
42,63,90,0.8600000143051147,S3,90,90,10,25,0,1.0,1.201331542688422e-06,2.9802322387695312e-06
42,63,90,0.8700000047683716,S1,90,90,10,25,0,1.0,1.4179944400893874e-06,3.0994415283203125e-06
42,63,90,0.8700000047683716,S3,90,90,10,25,0,1.0,1.1458993185442523e-06,2.9802322387695312e-06
42,63,90,0.8799999952316284,S1,90,90,10,25,0,1.0,1.4513731230181293e-06,3.2186508178710938e-06
42,63,90,0.8799999952316284,S3,90,90,10,25,0,1.0,1.169443066828535e-06,2.9802322387695312e-06
42,63,90,0.8899999856948853,S1,90,90,10,25,0,1.0,1.3697147096536355e-06,3.0994415283203125e-06
42,63,90,0.8899999856948853,S3,90,90,10,25,0,1.0,1.1235475767534808e-06,2.9206275939941406e-06
42,63,90,0.8999999761581421,S1,90,90,10,25,0,1.0,1.36256210225838e-06,3.2186508178710938e-06
42,63,90,0.8999999761581421,S3,90,90,10,25,0,1.0,1.109540448851476e-06,2.9206275939941406e-06
42,63,90,0.9100000262260437,S1,90,90,10,25,0,1.0,1.415014253325353e-06,3.0994415283203125e-06
42,63,90,0.9100000262260437,S3,90,90,10,25,0,1.0,1.1289118901913753e-06,2.9206275939941406e-06
42,63,90,0.9200000166893005,S1,90,90,10,25,0,1.0,1.3202428590375348e-06,3.039836883544922e-06
