arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
clean,1,duplicate-rewrite,clean,142,absorbed,1.0,1.0,0.684845,14,1,14,1,14,-1
clean,1,duplicate-rewrite,clean,143,absorbed,1.0,1.0,0.732029,15,1,15,1,15,-1
clean,1,duplicate-rewrite,clean,144,absorbed,1.0,1.0,0.732608,16,1,16,1,16,-1
clean,1,duplicate-rewrite,clean,145,absorbed,1.0,1.0,0.76306,17,1,17,1,17,-1
clean,1,duplicate-rewrite,clean,146,absorbed,1.0,1.0,0.716716,18,1,18,1,18,-1
clean,1,duplicate-rewrite,clean,147,absorbed,1.0,1.0,0.748066,19,1,19,1,19,-1
clean,1,duplicate-rewrite,clean,148,absorbed,1.0,1.0,0.716382,20,1,20,1,20,-1
clean,1,duplicate-rewrite,clean,149,absorbed,1.0,1.0,0.722103,21,1,21,1,21,-1
clean,1,duplicate-rewrite,clean,150,absorbed,1.0,1.0,0.695673,22,1,22,1,22,-1
clean,1,duplicate-rewrite,clean,151,absorbed,1.0,1.0,0.710688,23,1,23,1,23,-1
clean,1,duplicate-rewrite,clean,152,absorbed,1.0,1.0,0.76855,24,1,24,1,24,-1
clean,1,duplicate-rewrite,clean,153,absorbed,1.0,1.0,0.704535,25,1,25,1,25,-1
clean,1,duplicate-rewrite,clean,154,absorbed,1.0,1.0,0.702233,26,1,26,1,26,-1
clean,1,duplicate-rewrite,clean,155,absorbed,1.0,1.0,0.684572,27,1,27,1,27,-1
clean,1,duplicate-rewrite,clean,156,absorbed,1.0,1.0,0.688899,28,1,28,1,28,-1
clean,1,duplicate-rewrite,clean,157,absorbed,1.0,1.0,0.753017,29,1,29,1,29,-1
clean,1,duplicate-rewrite,clean,158,absorbed,1.0,1.0,0.762392,30,1,30,1,30,-1
clean,1,duplicate-rewrite,clean,159,absorbed,1.0,1.0,0.813448,31,1,31,1,31,-1
clean,1,duplicate-rewrite,clean,160,absorbed,1.0,1.0,0.702408,32,1,32,1,32,-1
clean,1,duplicate-rewrite,clean,161,absorbed,1.0,1.0,0.690498,33,1,33,1,33,-1
clean,1,duplicate-rewrite,clean,162,absorbed,1.0,1.0,0.752476,34,1,34,1,34,-1
clean,1,duplicate-rewrite,clean,163,absorbed,1.0,1.0,0.710802,35,1,35,1,35,-1
clean,1,duplicate-rewrite,clean,164,absorbed,1.0,1.0,0.715642,36,1,36,1,36,-1
clean,1,duplicate-rewrite,clean,165,absorbed,1.0,1.0,0.738423,37,1,37,1,37,-1
clean,1,duplicate-rewrite,clean,166,absorbed,1.0,1.0,0.752688,38,1,38,1,38,-1
clean,1,duplicate-rewrite,clean,167,absorbed,1.0,1.0,0.710382,39,1,39,1,39,-1
clean,1,duplicate-rewrite,clean,168,absorbed,1.0,1.0,0.700274,40,1,40,1,40,-1
clean,1,duplicate-rewrite,clean,169,absorbed,1.0,1.0,0.72138,41,1,41,1,41,-1
clean,1,duplicate-rewrite,clean,170,absorbed,1.0,1.0,0.703678,42,1,42,1,42,-1
clean,1,duplicate-rewrite,clean,171,absorbed,1.0,1.0,0.773868,43,1,43,1,43,-1
clean,1,duplicate-rewrite,clean,172,absorbed,1.0,1.0,0.69182,44,1,44,1,44,-1
clean,1,duplicate-rewrite,clean,173,absorbed,1.0,1.0,0.732029,45,1,45,1,45,-1
clean,1,duplicate-rewrite,clean,174,absorbed,1.0,1.0,0.755005,46,1,46,1,46,-1
clean,1,duplicate-rewrite,clean,175,absorbed,1.0,1.0,0.76855,47,1,47,1,47,-1
clean,1,duplicate-rewrite,clean,176,absorbed,1.0,1.0,0.714833,48,1,48,1,48,-1
clean,1,duplicate-rewrite,clean,177,absorbed,1.0,1.0,0.729588,49,1,49,1,49,-1
