arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,1,11,0,2,139,2.0,2,0,0,0,0,clean
stale-oneshot,1,12,0,2,140,2.0,2,0,0,0,0,clean
stale-oneshot,1,13,0,2,141,2.0,2,0,0,0,0,clean
stale-oneshot,1,14,0,2,142,2.0,2,0,0,0,0,clean
stale-oneshot,1,15,0,2,143,2.0,2,0,0,0,0,clean
stale-oneshot,1,16,0,2,144,2.0,2,0,0,0,0,clean
stale-oneshot,1,17,0,2,145,2.0,2,0,0,0,0,clean
stale-oneshot,1,18,0,2,146,2.0,2,0,0,0,0,clean
stale-oneshot,1,19,0,2,147,2.0,2,0,0,0,0,clean
stale-oneshot,1,20,0,2,148,2.0,2,0,0,0,0,clean
stale-oneshot,1,21,0,2,149,2.0,2,0,0,0,0,clean
stale-oneshot,1,22,0,2,150,2.0,2,0,0,0,0,clean
stale-oneshot,1,23,0,2,151,2.0,2,0,0,0,0,clean
stale-oneshot,1,24,0,2,152,2.0,2,0,0,0,0,clean
stale-oneshot,1,25,0,2,153,2.0,2,0,0,0,0,clean
stale-oneshot,1,26,0,2,154,2.0,2,0,0,0,0,clean
stale-oneshot,1,27,0,2,155,2.0,2,0,0,0,0,clean
stale-oneshot,1,28,0,2,156,2.0,2,0,0,0,0,clean
stale-oneshot,1,29,0,2,157,2.0,2,0,0,0,0,clean
stale-oneshot,1,30,0,2,158,2.0,2,0,0,0,0,clean
stale-oneshot,1,31,0,2,159,2.0,2,0,0,0,0,clean
stale-oneshot,1,32,1,2,160,2.0,2,0,0,0,0,clean
stale-oneshot,1,33,1,2,161,2.0,2,0,0,0,0,clean
stale-oneshot,1,34,1,2,162,2.0,2,0,0,0,0,clean
stale-oneshot,1,35,1,2,163,2.0,2,0,0,0,0,clean
stale-oneshot,1,36,1,2,164,2.0,2,0,0,0,0,clean
stale-oneshot,1,37,1,2,165,2.0,2,0,0,0,0,clean
stale-oneshot,1,38,1,2,166,2.0,2,0,0,0,0,clean
stale-oneshot,1,39,1,2,167,2.0,2,0,0,0,0,clean
stale-oneshot,1,40,1,2,168,2.0,2,0,0,0,0,clean
stale-oneshot,1,41,1,2,169,2.0,2,0,0,0,0,clean
stale-oneshot,1,42,1,2,170,2.0,2,0,0,0,0,clean
stale-oneshot,1,43,1,2,171,2.0,2,0,0,0,0,clean
stale-oneshot,1,44,1,2,172,2.0,2,0,0,0,0,clean
stale-oneshot,1,45,1,2,173,2.0,2,0,0,0,0,clean
stale-oneshot,1,46,1,2,174,2.0,2,0,0,0,0,clean
stale-oneshot,1,47,1,2,175,2.0,2,0,0,0,0,clean
stale-oneshot,1,48,1,2,176,2.0,2,0,0,0,0,clean
stale-oneshot,1,49,1,2,177,2.0,2,0,0,0,0,clean
stale-oneshot,1,50,1,2,178,2.0,2,0,0,0,0,clean
stale-oneshot,1,51,1,2,179,2.0,2,0,0,0,0,clean
stale-oneshot,1,52,1,2,180,2.0,2,0,0,0,0,clean
stale-oneshot,1,53,1,2,181,2.0,2,0,0,0,0,clean
stale-oneshot,1,54,1,2,182,2.0,2,0,0,0,0,clean
stale-oneshot,1,55,1,2,183,2.0,2,0,0,0,0,clean
stale-oneshot,1,56,1,2,184,2.0,2,0,0,0,0,clean
stale-oneshot,1,57,1,2,185,2.0,2,0,0,0,0,clean
stale-oneshot,1,58,1,2,186,2.0,2,0,0,0,0,clean
stale-oneshot,1,59,1,2,187,2.0,2,0,0,0,0,clean
stale-oneshot,1,60,1,2,188,2.0,2,0,0,0,0,clean
stale-oneshot,1,61,1,2,189,2.0,2,0,0,0,0,clean
stale-oneshot,1,62,1,2,190,2.0,2,0,0,0,0,clean
stale-oneshot,1,63,1,2,191,2.0,2,0,0,0,0,clean
stale-oneshot,1,64,2,2,192,2.0,2,0,0,0,0,clean
stale-oneshot,1,65,2,2,193,2.0,2,0,0,0,0,clean
stale-oneshot,1,66,2,2,194,2.0,2,0,0,0,0,clean
stale-oneshot,1,67,2,2,195,2.0,2,0,0,0,0,clean
stale-oneshot,1,68,2,2,196,2.0,2,0,0,0,0,clean
stale-oneshot,1,69,2,2,197,2.0,2,0,0,0,0,clean
stale-oneshot,1,70,2,2,198,2.0,2,0,0,0,0,clean
stale-oneshot,1,71,2,2,199,2.0,2,0,0,0,0,clean
stale-oneshot,1,72,2,2,200,2.0,2,0,0,0,0,clean
stale-oneshot,1,73,2,2,201,2.0,2,0,0,0,0,clean
stale-oneshot,1,74,2,2,202,2.0,2,0,0,0,0,clean
stale-oneshot,1,75,2,2,203,2.0,2,0,0,0,0,clean
stale-oneshot,1,76,2,2,204,2.0,2,0,0,0,0,clean
stale-oneshot,1,77,2,2,205,2.0,2,0,0,0,0,clean
stale-oneshot,1,78,2,2,206,2.0,2,0,0,0,0,clean
stale-oneshot,1,79,2,2,207,2.0,2,0,0,0,0,clean
stale-oneshot,1,80,2,2,208,2.0,2,0,0,0,0,clean
stale-oneshot,1,81,2,2,209,2.0,2,0,0,0,0,clean
stale-oneshot,1,82,2,2,210,2.0,2,0,0,0,0,clean
stale-oneshot,1,83,2,2,211,2.0,2,0,0,0,0,clean
stale-oneshot,1,84,2,2,212,2.0,2,0,0,0,0,clean
stale-oneshot,1,85,2,2,213,2.0,2,0,0,0,0,clean
stale-oneshot,1,86,2,2,214,2.0,2,0,0,0,0,clean
stale-oneshot,1,87,2,2,215,2.0,2,0,0,0,0,clean
stale-oneshot,1,88,2,2,216,2.0,2,0,0,0,0,clean
stale-oneshot,1,89,2,2,217,2.0,2,0,0,0,0,clean
stale-oneshot,1,90,2,2,218,2.0,2,0,0,0,0,clean
stale-oneshot,1,91,2,2,219,2.0,2,0,0,0,0,clean
stale-oneshot,1,92,2,2,220,2.0,2,0,0,0,0,clean
stale-oneshot,1,93,2,2,221,2.0,2,0,0,0,0,clean
stale-oneshot,1,94,2,2,222,2.0,2,0,0,0,0,clean
stale-oneshot,1,95,2,2,223,2.0,2,0,0,0,0,clean
stale-oneshot,1,96,3,2,224,2.0,2,0,0,0,0,clean
stale-oneshot,1,97,3,2,225,2.0,2,0,0,0,0,clean
stale-oneshot,1,98,3,2,226,2.0,2,0,0,0,0,clean
stale-oneshot,1,99,3,2,227,2.0,2,0,0,0,0,clean
stale-oneshot,1,100,3,2,228,2.0,2,0,0,0,0,clean
stale-oneshot,1,101,3,2,229,2.0,2,0,0,0,0,clean
