arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-soft,3,duplicate-rewrite,clean,48,absorbed,1.0,1.0,0.603281,8,3,40,3,8,-1
stale-soft,3,duplicate-rewrite,clean,49,absorbed,1.0,1.0,0.612249,9,3,41,3,9,-1
stale-soft,3,duplicate-rewrite,clean,50,absorbed,1.0,1.0,0.595308,10,3,42,3,10,-1
stale-soft,3,duplicate-rewrite,clean,51,absorbed,1.0,1.0,0.582509,11,3,43,3,11,-1
stale-soft,3,duplicate-rewrite,clean,52,absorbed,1.0,1.0,0.603684,12,3,44,3,12,-1
stale-soft,3,duplicate-rewrite,clean,53,absorbed,1.0,1.0,0.608251,13,3,45,3,13,-1
stale-soft,3,duplicate-rewrite,clean,54,absorbed,1.0,1.0,0.609918,14,3,46,3,14,-1
stale-soft,3,duplicate-rewrite,clean,55,absorbed,1.0,1.0,0.612065,15,3,47,3,15,-1
stale-soft,4,duplicate-rewrite,clean,56,absorbed,1.0,1.0,0.603281,8,4,48,4,8,-1
stale-soft,4,duplicate-rewrite,clean,57,absorbed,1.0,1.0,0.612249,9,4,49,4,9,-1
stale-soft,4,duplicate-rewrite,clean,58,absorbed,1.0,1.0,0.595308,10,4,50,4,10,-1
stale-soft,4,duplicate-rewrite,clean,59,absorbed,1.0,1.0,0.582509,11,4,51,4,11,-1
stale-soft,4,duplicate-rewrite,clean,60,absorbed,1.0,1.0,0.603684,12,4,52,4,12,-1
stale-soft,4,duplicate-rewrite,clean,61,absorbed,1.0,1.0,0.608251,13,4,53,4,13,-1
stale-soft,4,duplicate-rewrite,clean,62,absorbed,1.0,1.0,0.609918,14,4,54,4,14,-1
stale-soft,4,duplicate-rewrite,clean,63,absorbed,1.0,1.0,0.612065,15,4,55,4,15,-1
stale-soft,5,duplicate-rewrite,clean,64,absorbed,1.0,1.0,0.603281,8,5,56,5,8,-1
stale-soft,5,duplicate-rewrite,clean,65,absorbed,1.0,1.0,0.612249,9,5,57,5,9,-1
stale-soft,5,duplicate-rewrite,clean,66,absorbed,1.0,1.0,0.595308,10,5,58,5,10,-1
stale-soft,5,duplicate-rewrite,clean,67,absorbed,1.0,1.0,0.582509,11,5,59,5,11,-1
stale-soft,5,duplicate-rewrite,clean,68,absorbed,1.0,1.0,0.603684,12,5,60,5,12,-1
stale-soft,5,duplicate-rewrite,clean,69,absorbed,1.0,1.0,0.608251,13,5,61,5,13,-1
stale-soft,5,duplicate-rewrite,clean,70,absorbed,1.0,1.0,0.609918,14,5,62,5,14,-1
stale-soft,5,duplicate-rewrite,clean,71,absorbed,1.0,1.0,0.612065,15,5,63,5,15,-1
