arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-oneshot,0,initial,clean,102,forked,0.322983,0.0,0.3,27,1,27,1,102,-1
stale-oneshot,0,initial,clean,103,plain-miss,0.234941,0.0,0.3,23,1,23,1,103,-1
stale-oneshot,0,initial,clean,104,forked,0.348364,0.0,0.3,31,1,31,1,104,-1
stale-oneshot,0,initial,clean,105,plain-miss,0.290762,0.0,0.3,23,1,23,1,105,-1
stale-oneshot,0,initial,clean,106,plain-miss,0.14566,0.0,0.3,23,1,23,1,106,-1
stale-oneshot,0,initial,clean,107,plain-miss,0.263059,0.0,0.3,31,1,31,1,107,-1
stale-oneshot,0,initial,clean,108,plain-miss,0.294312,0.0,0.3,1,1,1,1,108,-1
stale-oneshot,0,initial,clean,109,plain-miss,0.205358,0.0,0.3,27,1,27,1,109,-1
stale-oneshot,0,initial,clean,110,plain-miss,0.241176,0.0,0.3,19,1,19,1,110,-1
stale-oneshot,0,initial,clean,111,plain-miss,0.274045,0.0,0.3,23,1,23,1,111,-1
stale-oneshot,0,initial,clean,112,plain-miss,0.219575,0.0,0.3,25,1,25,1,112,-1
stale-oneshot,0,initial,clean,113,forked,0.445092,0.0,0.3,31,1,31,1,113,-1
stale-oneshot,0,initial,clean,114,forked,0.35006,0.0,0.3,1,1,1,1,114,-1
stale-oneshot,0,initial,clean,115,plain-miss,0.237218,0.0,0.3,9,1,9,1,115,-1
stale-oneshot,0,initial,clean,116,plain-miss,0.268487,0.0,0.3,23,1,23,1,116,-1
stale-oneshot,0,initial,clean,117,forked,0.350019,0.0,0.3,31,1,31,1,117,-1
stale-oneshot,0,initial,clean,118,plain-miss,0.205113,0.0,0.3,21,1,21,1,118,-1
stale-oneshot,0,initial,clean,119,plain-miss,0.197807,0.0,0.3,9,1,9,1,119,-1
stale-oneshot,0,initial,clean,120,forked,0.307706,0.0,0.3,27,1,27,1,120,-1
stale-oneshot,0,initial,clean,121,plain-miss,0.190668,0.0,0.3,23,1,23,1,121,-1
stale-oneshot,0,initial,clean,122,plain-miss,0.241128,0.0,0.3,9,1,9,1,122,-1
stale-oneshot,0,initial,clean,123,plain-miss,0.285801,0.0,0.3,1,1,1,1,123,-1
stale-oneshot,0,initial,clean,124,plain-miss,0.256395,0.0,0.3,23,1,23,1,124,-1
stale-oneshot,0,initial,clean,125,plain-miss,0.296011,0.0,0.3,23,1,23,1,125,-1
stale-oneshot,0,initial,clean,126,plain-miss,0.226387,0.0,0.3,31,1,31,1,126,-1
stale-oneshot,0,initial,clean,127,plain-miss,0.18614,0.0,0.3,1,1,1,1,127,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,128,absorbed,1.0,1.0,0.736328,0,1,0,1,0,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,129,absorbed,1.0,1.0,0.761717,1,1,1,1,1,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,130,absorbed,1.0,1.0,0.722885,2,1,2,1,2,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,131,absorbed,1.0,1.0,0.732305,3,1,3,1,3,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,132,absorbed,1.0,1.0,0.710844,4,1,4,1,4,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,133,absorbed,1.0,1.0,0.696203,5,1,5,1,5,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,134,absorbed,1.0,1.0,0.730811,6,1,6,1,6,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,135,absorbed,1.0,1.0,0.742448,7,1,7,1,7,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,136,absorbed,1.0,1.0,0.765095,8,1,8,1,8,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,137,absorbed,1.0,1.0,0.766511,9,1,9,1,9,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,138,absorbed,1.0,1.0,0.697849,10,1,10,1,10,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,139,absorbed,1.0,1.0,0.736084,11,1,11,1,11,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,140,absorbed,1.0,1.0,0.741501,12,1,12,1,12,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,141,absorbed,1.0,1.0,0.744058,13,1,13,1,13,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,142,absorbed,1.0,1.0,0.695358,14,1,14,1,14,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,143,absorbed,1.0,1.0,0.717672,15,1,15,1,15,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,144,absorbed,1.0,1.0,0.725541,16,1,16,1,16,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,145,absorbed,1.0,1.0,0.763442,17,1,17,1,17,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,146,absorbed,1.0,1.0,0.695054,18,1,18,1,18,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,147,absorbed,1.0,1.0,0.728074,19,1,19,1,19,-1
