query_id,width,truth_in_set,truth_in_alts,deployed_correct,P-assert,P-uniform,P-alt-uniform
pairD_contra_s0:e3:p248,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p1,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p2,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p5,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p10,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p16,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e4:p20,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p24,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p27,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p30,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p31,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p55,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p56,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p58,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p59,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p61,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p62,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e4:p63,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p71,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p79,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p80,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p82,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p85,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p100,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p125,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p176,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p196,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p213,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p219,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p221,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p225,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p238,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p243,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p249,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p3,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p15,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p17,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p18,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p21,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p41,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e5:p71,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e5:p98,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p114,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p128,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p134,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p136,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p142,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p149,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p153,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p155,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p159,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p162,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p165,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p178,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p180,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p184,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e5:p188,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p189,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p192,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e5:p211,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e5:p227,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p245,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e5:p246,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e6:p2,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p3,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p5,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p9,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p18,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p55,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p61,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p68,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p71,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p75,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p90,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p92,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e6:p97,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e6:p107,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e6:p182,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e6:p193,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p212,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p224,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p233,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e6:p250,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e6:p252,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e7:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p7,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e7:p46,2,0,0,0,0.0,0.0,0.0
pairD_contra_s0:e7:p71,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e7:p104,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e7:p107,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e7:p140,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e7:p146,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p157,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p161,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p177,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p181,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p196,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e7:p217,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e7:p240,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e7:p252,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e8:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e8:p55,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e8:p74,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e8:p109,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e8:p110,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e8:p116,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e8:p120,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e8:p168,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e8:p171,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e8:p172,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e8:p175,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e8:p215,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p2,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e9:p5,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p10,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e9:p27,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p30,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p39,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p62,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e9:p76,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e9:p82,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p95,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e9:p101,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e9:p107,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e9:p111,2,1,1,0,0.0,0.5,1.0
